num_lectures,price,days_since_published,content_duration
6,130,1895,0.5333333333333333
98,150,2457,19.5
74,55,2226,5.0
14,40,1821,1.0
20,100,2816,1.0
50,195,1976,6.5
22,50,3112,1.0
53,50,2994,5.0
20,120,2206,2.0
19,25,2523,1.5
12,50,3223,1.0
211,25,2224,20.5
12,0,2378,1.5
28,35,1848,2.0
21,50,2921,3.5
16,60,2024,1.0
12,50,1881,1.5
66,195,2732,9.0
45,50,1899,6.0
124,200,3318,22.0
14,75,2027,1.5
8,20,2203,1.0
5,20,2969,1.0
20,0,2596,1.0
19,95,2030,1.0
44,100,1847,2.0
76,150,1999,5.5
22,0,1946,2.5
6,160,2324,1.0
43,20,2501,4.0
47,165,1874,5.5
30,50,2239,1.5
19,0,1996,2.0
11,20,3012,1.5
20,20,2578,1.0
11,45,2286,2.0
25,100,2087,2.5
86,90,2549,6.5
54,200,1800,3.0
11,20,2152,1.5
55,175,2592,7.0
6,20,1909,1.5
17,25,2640,1.0
49,100,2365,5.0
17,0,2275,1.0
14,40,2482,1.0
8,65,2067,1.5
136,50,3188,12.0
15,20,2045,0.6333333333333333
19,20,2536,3.0
7,20,1855,0.5833333333333334
64,150,2125,6.5
25,40,2652,2.0
9,20,2316,2.0
24,35,2470,1.5
70,195,2386,7.5
5,0,2274,1.0
6,0,1814,1.0
24,30,2034,2.0
81,195,2185,5.0
19,100,1786,3.0
134,150,2665,12.0
7,0,2340,0.6
20,50,2921,3.0
42,25,3156,3.0
13,0,1787,0.65
26,145,2403,1.5
41,30,2029,4.0
13,20,2563,2.0
20,95,2053,2.0
13,20,2607,1.5
8,20,2256,1.5
13,40,1814,1.0
111,150,2207,8.5
5,25,2682,0.5333333333333333
19,20,2707,1.5
33,35,2309,1.0
57,195,1975,17.0
56,200,2644,5.5
20,80,2029,1.0
43,50,2593,5.5
14,20,1834,0.6166666666666667
77,60,2325,5.5
29,20,1856,4.5
162,60,2228,18.5
31,95,2477,1.5
13,100,2365,1.5
73,200,1843,7.0
43,75,1912,1.0
10,20,2469,1.0
25,20,2707,1.5
10,25,2052,0.6
62,50,2430,3.0
13,50,2273,2.0
23,50,1990,1.0
62,50,3823,4.5
43,200,2423,4.5
37,40,2731,1.0
27,40,2599,1.0
80,50,2147,12.0
35,200,1966,2.5
7,20,2432,1.0
35,50,2242,5.0
33,75,3120,5.0
21,200,2034,2.0
25,50,3120,2.0
25,95,1821,2.0
56,120,2038,8.5
7,45,2175,1.0
78,20,2651,6.0
12,20,2862,1.5
97,100,2440,11.0
27,75,2317,5.5
14,20,3132,1.0
18,50,2988,3.0
73,170,2216,5.0
22,20,2509,1.0
12,20,2933,1.0
20,25,1980,1.0
21,20,2521,1.0
13,60,3370,1.5
33,20,1928,5.0
18,70,2500,1.5
80,50,2067,5.5
14,25,2120,0.5333333333333333
48,20,2038,4.5
15,35,3004,1.5
13,20,2158,0.5833333333333334
20,60,2668,1.5
11,0,2245,0.6333333333333333
31,70,1982,2.5
33,0,1813,3.5
9,50,2380,1.0
30,50,2414,1.5
28,20,2164,1.5
31,50,2228,1.0
10,20,2249,1.0
40,105,2568,2.5
62,60,2319,11.0
7,45,1997,0.55
13,30,2956,2.0
16,195,2254,2.0
17,100,1827,2.5
17,35,1857,1.5
26,150,1926,3.0
64,195,1808,6.5
12,30,2437,1.5
29,50,2168,2.0
25,50,3474,4.0
59,145,1967,3.0
11,0,2532,1.5
36,70,2210,3.5
26,20,2235,3.0
55,200,2691,6.5
32,40,2361,3.5
135,40,2513,6.0
26,65,2278,1.0
12,200,2000,1.0
45,50,3044,7.0
12,25,2165,1.0
31,50,2351,1.0
16,50,1793,1.0
49,40,2053,6.0
15,50,2173,1.5
14,20,1864,1.5
30,40,2886,3.5
18,195,2579,1.5
20,50,2946,4.5
57,50,3500,7.5
28,20,2689,2.0
31,0,2429,2.5
14,25,1985,2.0
42,195,2327,4.5
38,195,2547,2.5
16,200,1785,1.5
14,20,3208,1.5
11,20,1951,1.5
22,40,1856,2.0
18,40,2410,1.0
19,200,2053,1.0
65,165,2013,18.5
45,150,2320,4.0
24,180,3361,4.5
17,50,2263,1.5
33,35,1842,1.0
83,30,2669,5.0
31,50,1819,6.0
9,20,2404,0.6166666666666667
74,200,1792,8.5
125,200,1806,19.5
8,20,3128,1.0
25,20,2130,1.5
14,75,2241,1.0
16,95,2639,2.0
30,120,2450,3.0
7,20,1955,1.0
39,95,2738,2.0
32,0,2474,3.0
23,20,2921,3.0
41,195,2275,4.0
54,35,2381,4.0
89,150,2024,20.5
6,20,1821,0.7
33,25,1912,1.5
33,30,2730,2.0
18,40,2888,3.0
308,150,2218,29.5
28,85,2401,2.5
